Australia,Edu,Change,,7.28,4.42,7.14,-6.64,-3.99,-8.10,-63.83,0.00
Brazil,Edu,Change,,25.33,-5.76,0.04,1.71,-33.62,-112.48,0.00,0.00
Canada,Edu,Change,,7.72,-94.37,0.00,0.00,0.00,0.00,0.00,0.00
China,Edu,Change,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Germany,Edu,Change,,13.14,-6.01,10.19,6.91,-29.64,4.96,-166.44,0.00
France,Edu,Change,,7.47,-11.46,8.18,2.60,-23.98,1.03,-134.25,0.00
United Kingdom,Edu,Change,,7.32,-150.15,155.69,17.87,-9.29,-16.44,-147.83,0.00
Indonesia,Edu,Change,,7.25,2.80,-0.62,-1.36,1.56,-30.85,0.00,0.00
India,Edu,Change,,12.61,1.48,0.70,-71.38,0.00,0.00,0.00,0.00
Italy,Edu,Change,,2.10,-9.75,3.95,-1.19,-13.05,-3.11,-71.82,0.00
Japan,Edu,Change,,16.84,4.75,-40.06,-14.82,-174.16,0.00,0.00,0.00
"Korea, Rep.",Edu,Change,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,Edu,Change,,5.70,1.02,-1.44,9.31,-7.87,-8.36,-52.93,0.00
Russian Federation,Edu,Change,,0.00,83.76,2.52,-3.78,-30.24,-4.26,-48.02,0.00
Saudi Arabia,Edu,Change,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Turkey,Edu,Change,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,Edu,Change,,0.00,0.00,827.67,41.71,-869.38,0.00,0.00,0.00
South Africa,Edu,Change,,3.35,0.42,-3.19,-0.84,-2.30,-1.31,3.81,1.28
Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,Edu,Percentchange,,31.90,4.06,2.82,-5.97,21.74,-9.57,13.95,-100.00
Australia,Edu,Percentchange,,11.42,6.23,9.47,-8.04,-5.25,-11.26,-100.00,#DIV/0!
Brazil,Edu,Percentchange,,20.30,-3.84,0.03,1.18,-23.01,-100.00,#DIV/0!,#DIV/0!
Canada,Edu,Percentchange,,8.91,-100.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
China,Edu,Percentchange,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Germany,Edu,Percentchange,,7.87,-3.34,5.86,3.75,-15.51,3.07,-100.00,#DIV/0!
France,Edu,Percentchange,,4.97,-7.26,5.58,1.68,-15.26,0.77,-100.00,#DIV/0!
United Kingdom,Edu,Percentchange,,5.12,-100.00,#DIV/0!,11.48,-5.35,-10.01,-100.00,#DIV/0!
Indonesia,Edu,Percentchange,,34.12,9.82,-2.00,-4.44,5.32,-100.00,#DIV/0!,#DIV/0!
